title,RunningTime,Budget,BoxOffice,ReleaseDate,imdb
Academy Award Review of,41,,45.47,1937-05-19,7.2
Snow White and the Seven Dwarfs,83,1490000,418000000.00,1937-12-21,7.6
Pinocchio,88,2600000,164000000.00,1940-02-07,7.4
Fantasia,126,2280000,83300000.00,1940-11-13,7.7
The Reluctant Dragon,74,600000,960000.00,1941-06-20,6.9
Dumbo,64,950000,1300000.00,1941-10-23,7.2
Bambi,70,858000,267399999.99999997,1942-08-09,7.3
Saludos Amigos,42,,1135000.00,1942-08-24,6.1
Victory Through Air Power,65,788000,799000.00,1943-07-17,6.5
The Three Caballeros,71,,3355000.00,1944-12-21,6.4
Make Mine Music,75,1350000,3275000.00,1946-04-20,6.3
Song of the South,94,2125000,65000000.00,1946-11-12,7.1
Fun and Fancy Free,73,,3165000.00,1947-09-27,6.6
Melody Time,75,1500000,2560000.00,1948-05-27,6.3
So Dear to My Heart,82,1500000,3700000.00,1948-11-29,6.8
The Adventures of Ichabod and Mr. Toad,68,,1625000.00,1949-10-05,7
Cinderella,74,2900000,263600000.00000003,1950-02-15,6.9
Treasure Island,96,1800000,4100000.00,1950-06-22,6.9
Alice in Wonderland,75,3000000,5600000.00,1951-07-26,6.4
The Story of Robin Hood and His Merrie Men,84,,2100000.00,1952-03-13,6.7
Peter Pan,77,4000000,87400000.00,1953-02-05,7.3
The Sword and the Rose,92,2000000,1000000.00,1953-08-08,6.4
The Living Desert,69,300000,2600000.00,1953-11-10,7.5
"Rob Roy, the Highland Rogue",81,1800000,,1953-10-26,6.3
The Vanishing Prairie,60,,1750000.00,1954-08-17,7.7
"20,000 Leagues Under the Sea",127,5000000,28200000.00,1954-12-23,7.2
"Davy Crockett, King of the Wild Frontier",92,,2150000.00,1955-05-25,7
Lady and the Tramp,76,4000000,187000000.00,1955-06-22,7.3
The African Lion,75,,2100000.00,1955-09-14,7.2
The Littlest Outlaw,73,,1600000.00,1955-12-22,6.1
